Name,Score,Total,Q1,Q2,Q3,Q4,Q5
1,3,5,Kolkata,Carbon Dioxide,12,William Shakespeare,Mars
JISU/2025/1654,2,5,New Delhi,Nitrogen,10,William Shakespeare,Earth
